id,v_type,k,v
17327106,<type 'str'>,highway,traffic_signals
17327106,<type 'str'>,name,Aurobindo Circle
17327106,<type 'unicode'>,name:kn,ಅರವಿಂದ ವೃತ್ತ
26529522,<type 'str'>,highway,traffic_signals
26529603,<type 'str'>,created_by,JOSM
26529605,<type 'str'>,created_by,JOSM
26529606,<type 'str'>,created_by,JOSM
26529608,<type 'str'>,created_by,JOSM
26529612,<type 'str'>,created_by,JOSM
26529613,<type 'str'>,created_by,JOSM
26529615,<type 'str'>,created_by,JOSM
26529616,<type 'str'>,created_by,JOSM
26529620,<type 'str'>,created_by,JOSM
60952254,<type 'str'>,highway,traffic_signals
60952254,<type 'str'>,junction,yes
60952254,<type 'str'>,name,Prof Ashirvadam Junction
60952260,<type 'str'>,alt_name,Vellara Junction
60952260,<type 'str'>,highway,traffic_signals
60952260,<type 'str'>,junction,yes
60952260,<type 'str'>,name,Shoolay Circle
60952260,<type 'unicode'>,name:kn,ಶೂಲೆ ವೃತ್ತ
60952288,<type 'str'>,crossing,traffic_signals
60952288,<type 'str'>,highway,traffic_signals
60952290,<type 'str'>,created_by,JOSM
60952292,<type 'str'>,created_by,JOSM
60952294,<type 'str'>,highway,traffic_signals
61746217,<type 'str'>,highway,traffic_signals
61748543,<type 'str'>,highway,traffic_signals
61748553,<type 'str'>,highway,traffic_signals
61748555,<type 'str'>,highway,traffic_signals
62067292,<type 'str'>,crossing,traffic_signals
62067292,<type 'str'>,highway,traffic_signals
158687972,<type 'str'>,highway,traffic_signals
158687972,<type 'str'>,junction,yes
158687972,<type 'str'>,name,H Siddiah Circle
245611843,<type 'str'>,source,AND
245613758,<type 'str'>,source,AND
245614119,<type 'str'>,source,AND
245614692,<type 'str'>,crossing,traffic_signals
245614692,<type 'str'>,highway,traffic_signals
246171012,<type 'str'>,highway,traffic_signals
246171013,<type 'str'>,highway,traffic_signals
246171013,<type 'str'>,junction,yes
246171013,<type 'str'>,name,Townhall Junction
246171016,<type 'str'>,crossing,traffic_signals
246171016,<type 'str'>,highway,traffic_signals
246396993,<type 'str'>,public_transport,stop_position
246396993,<type 'str'>,ref,SBC:1
246397920,<type 'str'>,junction,yes
246397920,<type 'str'>,name,Siddalingaiah Circle
246397920,<type 'unicode'>,name:kn,ಸಿದ್ದಲಿಂಗಯ್ಯ ವರ್ತ
246397923,<type 'str'>,highway,traffic_signals
246397923,<type 'str'>,name,No Right Turn to Lavelle Road
246472362,<type 'str'>,created_by,JOSM
247850505,<type 'str'>,barrier,gate
247852826,<type 'str'>,highway,traffic_signals
247852915,<type 'str'>,highway,traffic_signals
247852915,<type 'str'>,name,Hulimavu Police Station Cross
247860622,<type 'str'>,created_by,JOSM
247860625,<type 'str'>,created_by,JOSM
247860627,<type 'str'>,created_by,JOSM
247860629,<type 'str'>,created_by,JOSM
247862500,<type 'str'>,created_by,JOSM
247862506,<type 'str'>,created_by,JOSM
247862510,<type 'str'>,created_by,JOSM
247960468,<type 'str'>,created_by,JOSM
247960469,<type 'str'>,created_by,JOSM
247960470,<type 'str'>,created_by,JOSM
247960471,<type 'str'>,created_by,JOSM
247960472,<type 'str'>,created_by,JOSM
247960473,<type 'str'>,created_by,JOSM
247960474,<type 'str'>,created_by,JOSM
247960475,<type 'str'>,created_by,JOSM
247960476,<type 'str'>,created_by,JOSM
247960477,<type 'str'>,created_by,JOSM
247960478,<type 'str'>,created_by,JOSM
247960479,<type 'str'>,created_by,JOSM
247960480,<type 'str'>,created_by,JOSM
247960481,<type 'str'>,created_by,JOSM
247960482,<type 'str'>,created_by,JOSM
247960483,<type 'str'>,created_by,JOSM
247960484,<type 'str'>,created_by,JOSM
247960485,<type 'str'>,created_by,JOSM
247960486,<type 'str'>,created_by,JOSM
247960487,<type 'str'>,created_by,JOSM
247960488,<type 'str'>,created_by,JOSM
247960489,<type 'str'>,created_by,JOSM
247960490,<type 'str'>,created_by,JOSM
247960491,<type 'str'>,created_by,JOSM
247960492,<type 'str'>,created_by,JOSM
247960493,<type 'str'>,created_by,JOSM
247960494,<type 'str'>,created_by,JOSM
247960495,<type 'str'>,created_by,JOSM
247960496,<type 'str'>,created_by,JOSM
247960497,<type 'str'>,created_by,JOSM
247960498,<type 'str'>,created_by,JOSM
247960499,<type 'str'>,created_by,JOSM
247960500,<type 'str'>,created_by,JOSM
247960501,<type 'str'>,created_by,JOSM
247960502,<type 'str'>,created_by,JOSM
247960503,<type 'str'>,created_by,JOSM
247960505,<type 'str'>,created_by,JOSM
247960506,<type 'str'>,created_by,JOSM
247960507,<type 'str'>,created_by,JOSM
247960508,<type 'str'>,created_by,JOSM
247960509,<type 'str'>,created_by,JOSM
247960510,<type 'str'>,created_by,JOSM
247960511,<type 'str'>,created_by,JOSM
247960512,<type 'str'>,created_by,JOSM
247960513,<type 'str'>,created_by,JOSM
247964190,<type 'str'>,created_by,JOSM
247964199,<type 'str'>,created_by,JOSM
247964200,<type 'str'>,created_by,JOSM
247964201,<type 'str'>,created_by,JOSM
247964202,<type 'str'>,created_by,JOSM
247964203,<type 'str'>,created_by,JOSM
247964204,<type 'str'>,created_by,JOSM
247964205,<type 'str'>,created_by,JOSM
247964206,<type 'str'>,created_by,JOSM
247964207,<type 'str'>,created_by,JOSM
247964208,<type 'str'>,created_by,JOSM
247964209,<type 'str'>,created_by,JOSM
247964210,<type 'str'>,created_by,JOSM
247964211,<type 'str'>,created_by,JOSM
247964212,<type 'str'>,created_by,JOSM
247964231,<type 'str'>,created_by,JOSM
247964243,<type 'str'>,created_by,JOSM
247964244,<type 'str'>,created_by,JOSM
247964245,<type 'str'>,created_by,JOSM
247964246,<type 'str'>,created_by,JOSM
247964249,<type 'str'>,created_by,JOSM
247964251,<type 'str'>,created_by,JOSM
247964253,<type 'str'>,created_by,JOSM
247964254,<type 'str'>,created_by,JOSM
247964256,<type 'str'>,created_by,JOSM
247964328,<type 'str'>,amenity,post_office
247964328,<type 'str'>,name,IIMB post office - Bilekahalli
247964328,<type 'str'>,postal_code,560076
247964650,<type 'str'>,created_by,JOSM
247964651,<type 'str'>,created_by,JOSM
247964654,<type 'str'>,created_by,JOSM
247964655,<type 'str'>,created_by,JOSM
247964656,<type 'str'>,created_by,JOSM
247964657,<type 'str'>,created_by,JOSM
247964660,<type 'str'>,created_by,JOSM
247964661,<type 'str'>,created_by,JOSM
247964662,<type 'str'>,created_by,JOSM
247964663,<type 'str'>,created_by,JOSM
247964665,<type 'str'>,created_by,JOSM
247964667,<type 'str'>,created_by,JOSM
247964668,<type 'str'>,created_by,JOSM
247964669,<type 'str'>,created_by,JOSM
247964670,<type 'str'>,created_by,JOSM
247964671,<type 'str'>,created_by,JOSM
247964672,<type 'str'>,created_by,JOSM
247964673,<type 'str'>,created_by,JOSM
247964674,<type 'str'>,created_by,JOSM
247964675,<type 'str'>,created_by,JOSM
247964676,<type 'str'>,created_by,JOSM
247964677,<type 'str'>,created_by,JOSM
247964678,<type 'str'>,created_by,JOSM
247964679,<type 'str'>,created_by,JOSM
247964680,<type 'str'>,created_by,JOSM
247964681,<type 'str'>,created_by,JOSM
247964687,<type 'str'>,highway,mini_roundabout
247964964,<type 'str'>,amenity,bank
247964964,<type 'str'>,atm,yes
247964964,<type 'str'>,name,State Bank of Mysore IIMB Branch
247964989,<type 'str'>,created_by,JOSM
247964989,<type 'str'>,name,IIMB Basket Ball Ground
247964989,<type 'str'>,sport,basketball
247965097,<type 'str'>,created_by,JOSM
247965098,<type 'str'>,created_by,JOSM
247965099,<type 'str'>,created_by,JOSM
247965112,<type 'str'>,created_by,JOSM
247965113,<type 'str'>,created_by,JOSM
247965114,<type 'str'>,created_by,JOSM
247965115,<type 'str'>,created_by,JOSM
247965117,<type 'str'>,created_by,JOSM
247965118,<type 'str'>,created_by,JOSM
247965119,<type 'str'>,created_by,JOSM
247965120,<type 'str'>,created_by,JOSM
247965121,<type 'str'>,created_by,JOSM
247965122,<type 'str'>,created_by,JOSM
247965123,<type 'str'>,created_by,JOSM
247965124,<type 'str'>,created_by,JOSM
247965125,<type 'str'>,created_by,JOSM
247965126,<type 'str'>,created_by,JOSM
247965127,<type 'str'>,created_by,JOSM
247965128,<type 'str'>,created_by,JOSM
247965129,<type 'str'>,created_by,JOSM
247965130,<type 'str'>,created_by,JOSM
247965131,<type 'str'>,created_by,JOSM
247965132,<type 'str'>,created_by,JOSM
247965133,<type 'str'>,created_by,JOSM
247965134,<type 'str'>,created_by,JOSM
247965135,<type 'str'>,created_by,JOSM
247965136,<type 'str'>,created_by,JOSM
247965137,<type 'str'>,created_by,JOSM
247965138,<type 'str'>,created_by,JOSM
247966023,<type 'str'>,created_by,JOSM
247966063,<type 'str'>,created_by,JOSM
247966064,<type 'str'>,created_by,JOSM
247966065,<type 'str'>,created_by,JOSM
247966066,<type 'str'>,created_by,JOSM
247966067,<type 'str'>,created_by,JOSM
247966068,<type 'str'>,created_by,JOSM
247966069,<type 'str'>,created_by,JOSM
247966070,<type 'str'>,created_by,JOSM
247966071,<type 'str'>,created_by,JOSM
247966072,<type 'str'>,created_by,JOSM
247966073,<type 'str'>,created_by,JOSM
247966074,<type 'str'>,created_by,JOSM
247966076,<type 'str'>,created_by,JOSM
